Name,Tags,Created,Last Edited,notes
"C-command: NPI, also / only,  binding theory",final review,"Mar 14, 2021 12:14 AM","Mar 14, 2021 3:26 PM",
"Ellipsis: PF deletion, LF copying, pseudogapping ",final review,"Mar 14, 2021 1:11 PM","Mar 14, 2021 3:26 PM",
"Unaccusative vs. Unergatives ",final review,"Mar 14, 2021 1:11 PM","Mar 15, 2021 3:44 PM",
Case Theory,final review,"Mar 14, 2021 2:02 PM","Mar 14, 2021 6:49 PM",
diff types of vPs and AgrOPs,final review,"Mar 14, 2021 2:02 PM","Mar 14, 2021 3:26 PM",
passivization,final review,"Mar 14, 2021 6:20 PM","Mar 15, 2021 1:27 PM",
"A-bar movement: tests, relative clauses, topicalization, left dislocation",final review,"Mar 14, 2021 6:51 PM","Mar 15, 2021 12:20 AM",
Constraints,,"Mar 14, 2021 12:13 AM","Mar 14, 2021 12:15 AM",
Binding Theory,,"Mar 13, 2021 8:45 PM","Mar 13, 2021 8:48 PM",
"Pseudogapping, Case Theory","165B, Syntax","Mar 8, 2021 3:04 PM","Mar 8, 2021 11:14 PM",
"Decomposing Predicates, VP Shells",,"Mar 8, 2021 3:04 PM","Mar 14, 2021 1:35 PM",
Applying VP shells to multiple components,,"Mar 8, 2021 3:04 PM","Mar 13, 2021 9:24 PM",
Movement [final],,"Mar 13, 2021 8:18 PM","Mar 14, 2021 12:49 AM",
,,"Mar 14, 2021 6:52 PM","Mar 14, 2021 6:52 PM",