Name,Status,Type
Carrying cobble all the way,,
Decline of Civilization?,,
Cult notes,,
Enigma smp,,
"""GIS"" For Human Languages (visualization)",,tech
lootcrate for your home,,
ninja training program with random attacks,,
amazon for kids,,
crowdsourced paper writing app,,
crowdsourced house decorating app,,
assisted suicide app - like uber for killing yourself,,
myHeist - crowdsourced heist app,,
High 2,,
Linguistic Resource App,,tech
Smart Chat Room,,tech
The Linguistics App,,tech
,,